Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
GFSA.SLS01G02981,2020.06,966,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SLS01G02981,2021.06,1359,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SLS01G02981,2022.06,1450,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SLS01G02981,2023.06,2237,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SLS01G02982,2009.06,118,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SLS01G02982,2010.06,115,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SLS01G02982,2011.06,130,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SLS01G02982,2012.06,137,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SLS01G02982,2013.06,133,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SLS01G02982,2014.06,124,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SLS01G02982,2015.06,137,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SLS01G02982,2016.06,117,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SLS01G02982,2017.06,127,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SLS01G02982,2018.06,127,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SLS01G02982,2019.06,141,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SLS01G02982,2020.06,145,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SLS01G02982,2021.06,145,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SLS01G02982,2022.06,137,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SLS01G02982,2023.06,151,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SLS01G02991,2009.06,637,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SLS01G02991,2010.06,652,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SLS01G02991,2011.06,703,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SLS01G02991,2012.06,957,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SLS01G02991,2013.06,1103,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SLS01G02991,2014.06,699,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SLS01G02991,2015.06,783,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SLS01G02991,2016.06,743,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SLS01G02991,2017.06,677,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SLS01G02991,2018.06,730,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SLS01G02991,2019.06,845,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SLS01G02991,2020.06,1245,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SLS01G02991,2021.06,1296,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SLS01G02991,2022.06,1408,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SLS01G02991,2023.06,1530,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SLS01G02992,2009.06,338,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SLS01G02992,2010.06,395,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SLS01G02992,2011.06,241,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SLS01G02992,2012.06,200,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SLS01G02992,2013.06,275,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SLS01G02992,2014.06,349,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SLS01G02992,2015.06,595,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SLS01G02992,2016.06,619,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other capital transfers,,,,
